,negative,positive
889,2.4,6.4
890,7.8,6.2
891,4.4,6.6
892,3.0,7.2
893,8.0,20.0
894,4.0,1.4
895,2.6,2.0
896,7.8,8.2
897,2.8,3.8
898,3.0,10.4
899,2.2,7.2
900,1.4,6.8
901,11.4,25.2
902,2.2,3.6
903,5.0,9.8
904,5.0,25.6
905,5.6,13.6
906,1.8,2.6
907,3.6,5.0
908,1.8,2.0
909,1.6,4.2
910,1.2,6.6
911,15.2,33.6
912,2.2,5.4
913,2.0,9.8
914,0.8,3.0
915,7.2,11.0
916,1.4,2.8
917,2.6,1.4
918,6.4,8.2
919,2.2,3.4
920,3.8,6.4
921,2.2,5.8
922,0.8,4.6
923,1.0,5.6
924,1.2,5.4
925,2.6,8.6
926,3.8,5.8
927,0.2,3.6
928,4.0,5.8
929,1.6,3.6
930,0.8,3.0
931,1.8,5.6
932,5.0,11.4
933,4.6,15.2
934,2.2,4.8
935,2.4,7.0
936,1.6,2.6
937,2.6,4.6
938,1.4,2.6
939,14.0,31.4
940,6.2,5.6
941,2.0,5.8
942,1.8,3.4
943,5.0,8.2
944,1.6,4.4
945,1.4,2.8
946,0.8,2.6
947,3.6,10.4
948,6.8,15.0
949,2.4,13.8
950,8.6,10.0
951,2.4,4.0
952,1.6,4.8
953,3.2,10.6
954,9.2,21.0
955,1.4,15.6
956,1.0,4.6
957,0.4,3.8
958,3.8,13.2
959,6.6,11.2
960,4.6,10.0
961,2.0,8.2
962,3.0,4.0
963,1.8,3.8
964,4.6,8.8
965,1.0,3.4
966,0.2,5.8
967,2.8,8.0
968,1.8,3.4
969,1.2,5.8
970,3.0,6.2
971,4.8,10.6
972,1.4,3.8
973,3.0,5.2
974,3.2,6.2
975,0.6,3.0
976,1.8,3.0
977,4.2,1.2
978,12.4,6.2
979,2.2,3.4
980,2.4,7.2
981,2.8,7.4
982,1.6,5.4
983,1.2,3.6
984,3.4,7.0
985,7.4,12.4
986,9.0,30.4
987,5.2,3.0
988,1.6,2.2
989,15.0,8.2
990,1.6,3.4
991,0.8,4.2
992,1.6,7.6
993,6.2,13.0
994,9.2,38.2
995,4.8,8.2
996,2.0,6.8
997,3.6,7.2
998,3.8,14.8
999,1.4,3.4
1000,2.4,8.2
1001,0.8,2.8
1002,4.4,7.6
1003,3.0,1.8
1004,1.0,6.2
1005,2.4,8.4
1006,1.2,5.2
1007,6.4,8.6
1008,2.0,3.8
1009,2.4,6.2
1010,2.2,11.4
1011,6.4,12.6
1012,2.8,9.8
1013,6.0,26.8
1014,3.6,4.8
1015,4.4,10.4
1016,26.6,48.6
1017,2.4,5.0
1018,5.0,18.2
1019,1.0,5.4
1020,5.8,14.6
1021,2.0,3.8
1022,1.4,3.4
1023,9.4,20.2
1024,1.8,6.4
1025,2.2,6.0
1026,1.0,4.0
1027,1.0,5.4
1028,2.2,7.2
1029,2.0,8.6
1030,2.6,3.0
1031,8.2,21.6
1032,1.8,4.6
1033,5.6,13.4
1034,16.6,34.2
1035,3.4,6.2
1036,2.0,2.6
1037,2.6,4.6
1038,7.4,11.0
1039,1.6,2.6
1040,1.4,4.4
1041,1.4,5.6
1042,4.2,6.4
1043,8.0,11.8
1044,0.2,4.2
1045,7.0,23.8
1046,4.6,4.2
1047,2.2,1.8
1048,2.0,2.8
1049,6.8,14.0
1050,1.6,3.4
1051,2.8,11.8
1052,1.2,2.6
1053,2.6,8.2
1054,3.6,5.8
1055,3.0,3.6
1056,13.8,19.8
1057,4.0,19.0
1058,2.4,6.4
1059,5.2,11.0
1060,5.6,11.0
1061,1.4,4.0
1062,2.4,1.6
1063,1.8,1.2
1064,3.4,4.6
1065,1.2,2.2
1066,2.6,0.6
1067,13.0,8.0
1068,1.0,3.0
1069,1.6,2.8
1070,1.8,5.4
1071,1.8,6.0
1072,3.4,8.2
1073,2.8,12.4
1074,1.0,3.6
1075,1.2,3.8
1076,4.0,7.6
1077,1.6,2.6
1078,2.2,5.8
1079,1.6,4.6
1080,3.2,1.8
1081,1.0,6.0
1082,3.6,5.6
1083,1.2,5.6
1084,5.8,16.6
1085,10.6,19.0
1086,2.0,2.8
1087,11.4,45.0
1088,1.6,6.8
1089,13.0,69.4
1090,2.2,2.4
1091,8.0,15.6
1092,6.2,17.2
1093,4.2,22.2
1094,0.6,1.8
1095,3.6,6.8
1096,3.6,4.8
1097,2.2,6.2
1098,7.0,16.6
1099,2.6,4.8
1100,2.8,7.8
1101,6.4,9.6
1102,7.0,6.8
1103,1.8,1.2
1104,4.8,6.0
1105,1.4,3.2
1106,6.4,15.2
1107,17.6,37.4
1108,1.6,5.8
1109,3.8,4.8
1110,0.6,4.0
1111,2.0,6.6
1112,2.8,6.4
1113,9.0,19.4
1114,1.8,8.8
1115,37.2,85.8
1116,3.2,7.6
1117,1.4,3.4
1118,1.0,2.0
1119,1.0,3.8
1120,22.2,16.8
1121,1.0,3.8
1122,2.2,4.2
1123,1.2,3.4
1124,1.2,9.6
1125,1.0,3.4
1126,2.0,6.2
1127,1.8,4.8
1128,1.0,6.8
1129,4.6,9.2
1130,35.4,145.6
1131,6.0,13.8
1132,3.0,5.0
1133,2.0,1.8
1134,3.2,1.2
1135,2.0,7.4
1136,2.6,7.6
1137,1.4,6.4
1138,0.8,4.6
1139,3.2,1.8
1140,3.0,7.6
1141,10.6,10.0
1142,6.8,7.2
1143,1.8,3.6
1144,4.0,4.2
1145,2.6,5.8
1146,1.6,3.6
1147,10.0,31.0
1148,2.2,4.8
1149,1.4,2.8
1150,6.0,9.4
1151,5.2,11.4
1152,0.2,5.2
1153,8.2,18.8
1154,3.2,3.4
1155,2.0,2.2
1156,2.4,2.8
1157,2.6,8.2
1158,7.2,5.6
1159,3.4,2.2
1160,10.6,8.4
1161,1.8,3.6
1162,23.8,37.2
1163,2.0,1.8
1164,3.4,8.6
1165,3.4,6.6
1166,3.4,10.4
1167,1.8,4.8
1168,3.0,1.6
1169,1.4,2.8
1170,2.2,6.0
1171,5.8,5.8
1172,1.0,6.6
1173,2.4,5.8
1174,1.8,4.8
1175,1.4,9.0
1176,1.2,3.2
1177,8.8,12.0
1178,1.0,5.4
1179,0.8,3.2
1180,1.0,4.6
1181,4.4,3.6
1182,0.2,6.8
1183,3.6,4.8
1184,2.6,4.0
1185,1.2,2.6
1186,4.4,2.0
1187,6.2,7.8
1188,8.2,8.0
1189,1.8,5.8
1190,1.0,2.4
1191,3.4,6.6
1192,1.8,4.6
1193,1.8,2.0
1194,3.4,10.0
1195,3.6,6.0
1196,3.4,12.8
1197,4.4,14.8
1198,1.6,3.2
1199,1.8,7.4
1200,2.2,4.6
1201,0.8,4.6
1202,2.0,4.6
1203,3.0,8.4
1204,2.2,3.2
1205,0.8,7.4
1206,0.4,6.4
1207,1.8,3.0
1208,1.2,3.8
1209,2.0,6.6
1210,3.6,5.6
1211,5.2,14.0
1212,1.6,5.6
1213,2.2,2.6
1214,4.0,8.4
1215,3.0,10.4
1216,1.8,2.4
1217,0.4,5.0
1218,3.6,7.4
1219,2.0,2.0
1220,3.0,7.8
1221,1.8,7.6
1222,0.8,4.4
1223,2.4,5.8
1224,5.6,32.2
1225,9.0,12.2
1226,1.8,18.4
1227,1.8,7.8
1228,2.8,4.0
1229,2.2,2.8
1230,3.2,8.4
1231,1.2,4.4
1232,2.0,6.4
1233,0.6,3.8
1234,1.8,7.4
1235,1.8,5.2
1236,3.2,8.4
1237,3.2,3.2
1238,2.0,6.8
1239,4.2,9.8
1240,3.6,6.6
1241,3.8,6.4
1242,1.8,3.0
1243,3.0,3.6
1244,1.4,5.6
1245,1.4,5.2
1246,2.6,7.8
1247,1.2,2.4
1248,2.4,5.6
1249,3.2,5.4
1250,1.0,5.0
1251,4.2,9.2
1252,2.4,3.0
1253,4.6,4.2
1254,1.4,3.4
1255,2.4,3.0
1256,1.8,3.6
1257,1.4,3.4
1258,0.4,4.6
1259,2.2,5.2
1260,2.0,6.4
1261,1.0,3.2
1262,0.6,3.8
1263,0.6,4.2
1264,0.4,4.6
1265,1.2,2.4
1266,4.6,10.8
1267,5.6,7.2
1268,2.8,5.2
1269,5.4,3.6
1270,2.6,7.2
1271,2.8,2.0
1272,5.0,3.6
1273,1.6,3.8
1274,1.0,3.6
1275,3.6,2.8
1276,0.6,5.4
1277,1.6,4.2
1278,3.0,3.0
1279,2.4,2.2
1280,2.6,4.0
1281,2.4,5.4
1282,3.4,2.2
1283,1.8,1.8
1284,9.4,23.6
1285,1.8,2.2
1286,4.4,21.8
1287,0.8,3.8
1288,2.6,11.2
1289,0.6,1.8
1290,2.0,4.6
1291,2.4,2.6
1292,1.0,3.6
1293,1.4,2.8
1294,13.4,6.6
1295,3.4,2.4
1296,1.8,2.6
1297,0.4,3.2
1298,1.8,4.4
1299,2.6,5.8
1300,9.2,3.6
1301,2.6,4.6
1302,1.8,3.6
1303,1.4,4.4
1304,0.8,3.0
1305,3.2,4.4
1306,2.4,10.2
1307,2.8,3.6
1308,2.4,7.2
1309,4.4,17.0
1310,2.6,6.8
1311,1.8,6.0
1312,5.0,8.6
1313,3.4,11.4
1314,1.2,2.8
1315,1.4,1.8
1316,19.8,11.8
1317,2.8,8.8
1318,3.4,12.2
1319,1.4,2.2
1320,3.8,8.6
1321,4.8,7.6
1322,1.8,2.8
1323,1.6,7.8
1324,1.4,6.0
1325,7.0,16.6
1326,1.4,5.2
1327,2.8,9.0
1328,3.2,10.8
1329,0.4,2.6
1330,1.0,5.2
1331,0.2,6.0
1332,2.0,4.6
1333,1.2,3.8
1334,2.2,8.4
1335,1.8,3.6
1336,2.6,4.4
1337,3.2,19.2
1338,4.4,6.2
1339,3.4,6.8
1340,2.8,3.0
1341,1.8,5.8
1342,1.2,5.8
1343,6.4,9.6
1344,3.0,8.0
1345,12.8,33.8
1346,2.8,6.2
